metric,R1,R2
fleiss_intent,0.8345,0.9554
fleiss_sentiment,0.6676,0.8779
alpha_intent_nominal,0.8348,0.9555
alpha_sentiment_ordinal,0.6101,0.8852
cohen_mean_intent,0.8347,0.9555
cohen_mean_sentiment,0.6734,0.8779
unanimous_intent_overlap,0.7944,0.9444
unanimous_sentiment_overlap,0.7444,0.8944
per_class_kappa/refund_request,0.7872,0.9642
per_class_kappa/cancellation,0.5815,0.9073
per_class_kappa/billing_payments,0.8169,0.9378
per_class_kappa/shipping_delivery,0.8995,0.9397
per_class_kappa/order_changes,0.8396,1.0
per_class_kappa/account_access,0.9085,0.9765
per_class_kappa/feedback_complaints,0.8947,0.9355
per_class_kappa/other_contact,0.9362,1.0
gold_intent_acc/A1,0.8472,0.9861
gold_sentiment_acc/A1,0.8056,0.9444
gold_intent_acc/A2,0.8889,0.9861
gold_sentiment_acc/A2,0.9028,0.9306
gold_intent_acc/A3,0.8472,0.9583
gold_sentiment_acc/A3,0.7361,0.9306
rework_rate_intent,—,0.0167
rework_rate_either,—,0.0467
tier3_audit_pass_rate,—,1.0
final_gold_intent_acc,—,1.0
final_gold_sentiment_acc,—,0.9583
